gal,tipo,hu1,hu2,hu3,hu4,hu5,hu6,hu7
K0001,Sb,0.204590946682,0.015177057664,0.000663488257101,7.88697127391e-05,7.91723110428e-08,2.07986200287e-05,3.01566691752e-08
K0002,Sbc,0.17771418285,0.00577416995807,0.000817231464114,0.000523430628404,-1.9067882707e-09,2.98390892892e-06,8.47516538614e-09
K0003,Sc,0.164608582283,0.00139163344237,0.000600773810532,0.000528957599738,7.12035578746e-10,-1.94439555309e-06,4.19717687214e-09
K0005,Sbc,0.168396748699,0.00240001132137,8.41986978222e-05,2.84404354399e-05,-1.43994557318e-11,9.80945672531e-08,5.85940718295e-11
K0007,Sab,0.199991846592,0.0135339628464,0.000829701300614,0.000200115267527,-2.38006146664e-09,-4.06538005631e-07,-2.08937732749e-10
K0008,Sbc,0.162837815418,0.00078911246181,0.000638217299463,0.000559186757731,-2.75757589109e-09,-1.29392368203e-06,1.52619571695e-08
K0009,Sb,0.165023833011,7.27675994019e-05,0.000291309777686,0.00023063664392,-5.03145332887e-09,-1.62287736545e-07,-1.63147107196e-09
K0010,Sb,0.166205089691,0.00103191828242,8.17094741329e-05,2.3058437474e-05,-6.38483963331e-10,-4.67797685567e-07,1.80735563018e-09
K0012,Sc,0.23449783689,0.0285959915133,0.0125722775642,0.0120540486374,-2.29350758406e-07,-0.000206680730708,5.26059825154e-06
K0013,Sb,0.182892150784,0.00641907826993,0.00014178748351,0.000587833042396,2.54602150699e-08,1.04608035762e-05,-5.95165038905e-09
K0014,Sd,0.191970567906,0.0073408097189,0.000221548062455,0.000149463880788,2.27265563732e-08,1.18257207093e-05,2.54073292797e-08
K0017,E4,0.204805854137,0.00264638514013,0.000600127818288,0.000195544762054,-2.55963395046e-09,-5.62757798864e-07,-6.16056893722e-11
K0018,E1,0.246393112838,0.000852379048997,0.000410636916185,0.000109462852848,-2.18091689714e-08,-1.52882732982e-06,-5.45946385978e-09
K0019,Sb,0.209007368854,0.0157978857051,9.70593617706e-05,0.000697662727906,2.53186166602e-08,1.82305873778e-05,1.84342035617e-08
K0020,Sa,0.199059698869,0.00313068018775,0.00136335439507,0.000458512153476,-2.5031344535e-08,2.7220615646e-06,-5.19552637429e-09
K0023,Sb,0.162957439835,1.82924859499e-05,0.00016232853326,0.000173318397534,-1.07126238864e-11,-2.30512317704e-08,1.3312683911e-09
K0025,Sb,0.164791377054,0.000323960366655,0.000360249347163,2.20819916041e-05,-3.7424676093e-09,-3.9083494965e-07,-1.40159715167e-09
K0026,Sab,0.173857496238,0.00300459040143,6.36640625402e-05,0.00023427194941,-1.00735993606e-09,9.65446978032e-07,5.19975937213e-09
K0027,Sd,0.187152398682,0.00909216020389,0.000164439313837,4.79814121494e-05,-6.5948420937e-09,-4.24253320741e-06,5.12251519863e-10
K0028,Sbc,0.163505224618,0.000435336235931,0.000267252482066,8.72318876599e-05,-1.36357052445e-10,9.59591600885e-08,1.33579769857e-10
K0029,Sa,0.309429693681,0.0495480148946,0.000723128563845,0.000617601403225,-1.21196072075e-07,4.99471973482e-05,-1.47339881541e-07
K0030,Sc,0.163634311304,0.00110760533088,9.41377037878e-05,1.34514903074e-05,9.63655087811e-10,4.84400445235e-07,3.35853956627e-10
K0031,Sc,0.160961271345,6.95839522016e-05,4.30750743466e-05,9.44464914586e-05,-2.16599107803e-09,-2.32382483661e-07,-9.04237421132e-10
K0033,Sc,0.163409936964,0.000614858033421,0.000237041299812,0.000125997007959,-9.65630770279e-10,7.04076617771e-07,2.71965980965e-10
K0035,E7,0.319848716608,0.00909932535733,2.69613711075e-05,0.000592813969058,1.04979900179e-09,1.2861736025e-06,-3.5917178488e-09
K0036,Sa,0.36132966629,0.0735973583899,0.00152217848317,0.00334279315134,5.12880717595e-06,0.000606680401198,-3.78557705447e-08
